,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
76,scottmi01,16-Jul-88,2012.0,Mike Scott,Power Forward,University of Virginia,1471382.0,2018.0,2017.0,Washington Wizards,38.0335529,-78.5079772
77,anunoog01,17-Jul-97,2017.0,OG Anunoby,Small Forward,Indiana University,1645200.0,2018.0,2017.0,Toronto Raptors,39.1754487,-86.512627
78,bryanth01,31-Jul-97,2017.0,Thomas Bryant,Center,Indiana University,815615.0,2018.0,2017.0,Los Angeles Lakers,39.1754487,-86.512627
79,oladivi01,4-May-92,2013.0,Victor Oladipo,Shooting Guard,Indiana University,21000000.0,2018.0,2017.0,Indiana Pacers,39.1754487,-86.512627
80,vonleno01,24-Aug-95,2014.0,Noah Vonleh,Power Forward,Indiana University,3505233.0,2018.0,2017.0,Chicago Bulls,39.1754487,-86.512627
81,zelleco01,5-Oct-92,2013.0,Cody Zeller,Center,Indiana University,12584270.0,2018.0,2017.0,Charlotte Hornets,39.1754487,-86.512627
82,bairsca01,7-Dec-90,2014.0,Cameron Bairstow,Center and,University of New Mexico,845059.0,2016.0,2015.0,Chicago Bulls,35.084318700000004,-106.6197812
83,hobsoda01,29-Sep-87,2010.0,Darington Hobson,Shooting Guard,University of New Mexico,245884.0,2012.0,2011.0,Milwaukee Bucks,35.084318700000004,-106.6197812
84,snellto01,10-Nov-91,2013.0,Tony Snell,Shooting Guard,University of New Mexico,9821429.0,2018.0,2017.0,Milwaukee Bucks,35.084318700000004,-106.6197812
85,barneha02,30-May-92,2012.0,Harrison Barnes,Power Forward,University of North Carolina,23112004.0,2018.0,2017.0,Dallas Mavericks,35.90491220000001,-79.04691340000002
86,bradlto01,8-Jan-98,2017.0,Tony Bradley,Center,University of North Carolina,1414920.0,2018.0,2017.0,Utah Jazz,35.90491220000001,-79.04691340000002
87,bullore01,16-Mar-91,2013.0,Reggie Bullock,Shooting Guard,University of North Carolina,2500000.0,2018.0,2017.0,Detroit Pistons,35.90491220000001,-79.04691340000002
88,davised01,5-Jun-89,2010.0,Ed Davis,Center and,University of North Carolina,6352531.0,2018.0,2017.0,Portland Trail Blazers,35.90491220000001,-79.04691340000002
89,hairspj02,24-Dec-92,2014.0,P.J. Hairston,Small Forward,University of North Carolina,11534.0,2017.0,2016.0,Houston Rockets,35.90491220000001,-79.04691340000002
90,hensojo01,28-Dec-90,2012.0,John Henson,Center and,University of North Carolina,11422536.0,2018.0,2017.0,Milwaukee Bucks,35.90491220000001,-79.04691340000002
91,jacksju01,28-Mar-95,2017.0,Justin Jackson,Small Forward,University of North Carolina,2365560.0,2018.0,2017.0,Sacramento Kings,35.90491220000001,-79.04691340000002
92,johnsbr02,27-Jun-94,2016.0,Brice Johnson,Power Forward,University of North Carolina,1331160.0,2018.0,2017.0,Memphis Grizzlies,35.90491220000001,-79.04691340000002
