,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team
9806,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,14700000,2015,2014,Dallas Mavericks
9807,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,15361500,2016,2015,Dallas Mavericks
9808,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,22116750,2017,2016,Memphis Grizzlies
9809,parsoch01,25-Oct-88,2011,Chandler Parsons,Small Forward,University of Florida,23112004,2018,2017,Memphis Grizzlies
9813,pattela01,12-Aug-91,2014,Lamar Patterson,Shooting Guard,University of Pittsburgh,525093,2016,2015,Atlanta Hawks
9814,pattela01,12-Aug-91,2014,Lamar Patterson,Shooting Guard,University of Pittsburgh,128623,2017,2016,Atlanta Hawks
9815,pattela01,12-Aug-91,2014,Lamar Patterson,Shooting Guard,University of Pittsburgh,100000,2017,2016,Sacramento Kings
9816,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,1823280,2011,2010,Houston Rockets
9817,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,1959960,2012,2011,Houston Rockets
9818,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,2096760,2013,2012,Sacramento Kings
9819,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,3105302,2014,2013,Sacramento Kings
9820,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,5831326,2015,2014,Toronto Raptors
9821,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,6268675,2016,2015,Toronto Raptors
9822,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,6050000,2017,2016,Toronto Raptors
9823,pattepa01,14-Mar-89,2010,Patrick Patterson,Power Forward,University of Kentucky,5192000,2018,2017,Oklahoma City Thunder
9834,pattoju01,14-Jun-97,2017,Justin Patton,Center,Creighton University,2247480,2018,2017,Minnesota Timberwolves
9874,payneca01,8-Aug-94,2015,Cameron Payne,Point Guard,Murray State University,2021520,2016,2015,Oklahoma City Thunder
9875,payneca01,8-Aug-94,2015,Cameron Payne,Point Guard,Murray State University,2112480,2017,2016,Chicago Bulls
9876,payneca01,8-Aug-94,2015,Cameron Payne,Point Guard,Murray State University,2203440,2018,2017,Chicago Bulls
9880,paytoel01,22-Feb-94,2014,Elfrid Payton,Point Guard,University of Louisiana at Lafayette,2397840,2015,2014,Orlando Magic
9881,paytoel01,22-Feb-94,2014,Elfrid Payton,Point Guard,University of Louisiana at Lafayette,2505720,2016,2015,Orlando Magic
9882,paytoel01,22-Feb-94,2014,Elfrid Payton,Point Guard,University of Louisiana at Lafayette,2613600,2017,2016,Orlando Magic
9883,paytoel01,22-Feb-94,2014,Elfrid Payton,Point Guard,University of Louisiana at Lafayette,3332340,2018,2017,Phoenix Suns
10148,pittmde01,2-Mar-88,2010,Dexter Pittman,Center,University of Texas at Austin,473604,2011,2010,Miami Heat
10149,pittmde01,2-Mar-88,2010,Dexter Pittman,Center,University of Texas at Austin,762195,2012,2011,Miami Heat
10150,pittmde01,2-Mar-88,2010,Dexter Pittman,Center,University of Texas at Austin,854389,2013,2012,Memphis Grizzlies
10158,plumlma01,5-Mar-90,2013,Mason Plumlee,Center,Duke University,1298640,2014,2013,Brooklyn Nets
10159,plumlma01,5-Mar-90,2013,Mason Plumlee,Center,Duke University,1357080,2015,2014,Brooklyn Nets
10160,plumlma01,5-Mar-90,2013,Mason Plumlee,Center,Duke University,1415520,2016,2015,Portland Trail Blazers
10161,plumlma01,5-Mar-90,2013,Mason Plumlee,Center,Duke University,2328530,2017,2016,Denver Nuggets
10162,plumlma01,5-Mar-90,2013,Mason Plumlee,Center,Duke University,14041096,2018,2017,Denver Nuggets
10163,plumlmi01,1-Sep-88,2012,Miles Plumlee,Center,Duke University,1073280,2013,2012,Indiana Pacers
10164,plumlmi01,1-Sep-88,2012,Miles Plumlee,Center,Duke University,1121520,2014,2013,Phoenix Suns
10165,plumlmi01,1-Sep-88,2012,Miles Plumlee,Center,Duke University,1169880,2015,2014,Milwaukee Bucks
10166,plumlmi01,1-Sep-88,2012,Miles Plumlee,Center,Duke University,2109294,2016,2015,Milwaukee Bucks
10167,plumlmi01,1-Sep-88,2012,Miles Plumlee,Center,Duke University,12500000,2017,2016,Milwaukee Bucks
10168,plumlmi01,1-Sep-88,2012,Miles Plumlee,Center,Duke University,12500000,2018,2017,Atlanta Hawks
10174,poeltja01,15-Oct-95,2016,Jakob Poeltl,Center,University of Utah,2703960,2017,2016,Toronto Raptors
10175,poeltja01,15-Oct-95,2016,Jakob Poeltl,Center,University of Utah,2825640,2018,2017,Toronto Raptors
10203,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,1073280,2011,2010,New Orleans Hornets
10204,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,1153800,2012,2011,Memphis Grizzlies
10205,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,1234320,2013,2012,Memphis Grizzlies
10206,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,2225479,2014,2013,Memphis Grizzlies
10207,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,3146068,2015,2014,New Orleans Pelicans
10208,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,3382023,2016,2015,New Orleans Pelicans
10209,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,3617978,2017,2016,New Orleans Pelicans
10210,pondequ01,10-Mar-88,2010,Quincy Pondexter,Small Forward and Shooting Guard,University of Washington,3853931,2018,2017,Chicago Bulls
10224,porteot01,3-Jun-93,2013,Otto Porter,Small Forward,Georgetown University,4278000,2014,2013,Washington Wizards
10225,porteot01,3-Jun-93,2013,Otto Porter,Small Forward,Georgetown University,4470480,2015,2014,Washington Wizards
10226,porteot01,3-Jun-93,2013,Otto Porter,Small Forward,Georgetown University,4662960,2016,2015,Washington Wizards
10227,porteot01,3-Jun-93,2013,Otto Porter,Small Forward,Georgetown University,5893981,2017,2016,Washington Wizards
10228,porteot01,3-Jun-93,2013,Otto Porter,Small Forward,Georgetown University,24773250,2018,2017,Washington Wizards
10245,portibo01,10-Feb-95,2015,Bobby Portis,Power Forward,University of Arkansas,1391160,2016,2015,Chicago Bulls
10246,portibo01,10-Feb-95,2015,Bobby Portis,Power Forward,University of Arkansas,1453680,2017,2016,Chicago Bulls
10247,portibo01,10-Feb-95,2015,Bobby Portis,Power Forward,University of Arkansas,1516320,2018,2017,Chicago Bulls
10283,poweldw01,20-Jul-91,2014,Dwight Powell,Power Forward and Center,Stanford University,507336,2015,2014,Dallas Mavericks
10284,poweldw01,20-Jul-91,2014,Dwight Powell,Power Forward and Center,Stanford University,845059,2016,2015,Dallas Mavericks
10285,poweldw01,20-Jul-91,2014,Dwight Powell,Power Forward and Center,Stanford University,8375000,2017,2016,Dallas Mavericks
