,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,league,player_id,salary,season,season_end,season_start,team
139,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,2126520,2010-11,2011,2010,Oklahoma City Thunder
140,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,2286000,2011-12,2012,2011,Oklahoma City Thunder
141,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,2445480,2012-13,2013,2012,Sacramento Kings
142,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,981084,2014-15,2015,2014,New York Knicks
143,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,1100600,2015-16,2016,2015,Los Angeles Clippers
144,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,7643979,2016-17,2017,2016,Minnesota Timberwolves
145,aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,NBA,aldrico01,7300000,2017-18,2018,2017,Minnesota Timberwolves
186,allenja01,21-Apr-98,"Austin, Texas",1,59,18.3,73.2,152,18.1,9.6,7,11.9,59.5,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,11-Jun,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237lb,NBA,allenja01,1713720,2017-18,2018,2017,Brooklyn Nets
191,allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,NBA,allenla01,473604,2011-12,2012,2011,Philadelphia 76ers
192,allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,NBA,allenla01,3000000,2012-13,2013,2012,Philadelphia 76ers
193,allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,NBA,allenla01,3060000,2013-14,2014,2013,Philadelphia 76ers
194,allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,NBA,allenla01,948163,2014-15,2015,2014,Indiana Pacers
195,allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,NBA,allenla01,3700000,2015-16,2016,2015,Indiana Pacers
196,allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,NBA,allenla01,4000000,2016-17,2017,2016,Indiana Pacers
264,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,2563320,2010-11,2011,2010,Los Angeles Clippers
265,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,2755560,2011-12,2012,2011,New Orleans Hornets
266,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,2947800,2012-13,2013,2012,New Orleans Hornets
267,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,3700000,2013-14,2014,2013,New Orleans Pelicans
268,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,981084,2014-15,2015,2014,Dallas Mavericks
269,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,7500000,2015-16,2016,2015,Portland Trail Blazers
270,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,7680965,2016-17,2017,2016,Portland Trail Blazers
271,aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,NBA,aminual01,7319035,2017-18,2018,2017,Portland Trail Blazers
334,anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,NBA,anderja01,1361400,2010-11,2011,2010,San Antonio Spurs
335,anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,NBA,anderja01,1463520,2011-12,2012,2011,San Antonio Spurs
336,anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,NBA,anderja01,472427,2012-13,2013,2012,Houston Rockets
337,anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,NBA,anderja01,145749,2012-13,2013,2012,San Antonio Spurs
338,anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,NBA,anderja01,916099,2013-14,2014,2013,Philadelphia 76ers
339,anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,NBA,anderja01,1015421,2015-16,2016,2015,Sacramento Kings
340,anderju01,19-Nov-93,"Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-Jun,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb,NBA,anderju01,1449000,2015-16,2016,2015,Dallas Mavericks
341,anderju01,19-Nov-93,"Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-Jun,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb,NBA,anderju01,1514160,2016-17,2017,2016,Philadelphia 76ers
342,anderju01,19-Nov-93,"Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-Jun,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb,NBA,anderju01,1579440,2017-18,2018,2017,Philadelphia 76ers
357,anderky01,20-Sep-93,"Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,9-Jun,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,NBA,anderky01,1093680,2014-15,2015,2014,San Antonio Spurs
358,anderky01,20-Sep-93,"Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,9-Jun,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,NBA,anderky01,1142879,2015-16,2016,2015,San Antonio Spurs
359,anderky01,20-Sep-93,"Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,9-Jun,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,NBA,anderky01,1192080,2016-17,2017,2016,San Antonio Spurs
360,anderky01,20-Sep-93,"Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,9-Jun,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,NBA,anderky01,2151704,2017-18,2018,2017,San Antonio Spurs
416,anigbik01,17-Oct-98,"San Diego, California",0.1,33.3,-,83.3,14,17,0.9,0.9,0,33.3,"University of California, Los Angeles",47th overall,2nd round,Indiana Pacers,2017,10-Jun,"Centennial in Corono, California",Ike Anigbogu,Center,Right,250lb,NBA,anigbik01,950000,2017-18,2018,2017,Indiana Pacers
465,anunoog01,17-Jul-97,"London, United Kingdom",0.7,46.1,35.1,60.5,141,9.9,6.4,2.7,5,55.5,Indiana University,23rd overall,1st round,Toronto Raptors,2017,8-Jun,"Jefferson City in Jefferson City, Missouri",OG Anunoby,Small Forward,Right,232lb,NBA,anunoog01,1645200,2017-18,2018,2017,Toronto Raptors
647,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,1645440,2010-11,2011,2010,Portland Trail Blazers
648,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,1768800,2011-12,2012,2011,Portland Trail Blazers
649,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,1892280,2012-13,2013,2012,Portland Trail Blazers
650,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,981084,2014-15,2015,2014,New Orleans Pelicans
651,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,1100000,2015-16,2016,2015,New Orleans Pelicans
652,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,1227000,2016-17,2017,2016,Miami Heat
653,babbilu01,20-Jun-89,"Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,9-Jun,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,NBA,babbilu01,1974159,2017-18,2018,2017,Miami Heat
655,bacondw01,30-Aug-95,"Lakeland, Florida",0.9,43.2,37.7,76.1,96,8.8,5.1,2.2,1.1,48.7,Florida State University,40th overall,2nd round,New Orleans Pelicans,2017,7-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Dwayne Bacon,Shooting Guard,Right,221lb,NBA,bacondw01,815615,2017-18,2018,2017,Charlotte Hornets
685,bairsca01,7-Dec-90,"Brisbane, Australia",0.2,29.6,20,84.6,36,5,1.2,1,-0.1,30.6,University of New Mexico,49th overall,2nd round,Chicago Bulls,2014,9-Jun,"Australian Institute of Sport in Canberra, Australia",Cameron Bairstow,Center and Power Forward,Right,250lb,NBA,bairsca01,507336,2014-15,2015,2014,Chicago Bulls
686,bairsca01,7-Dec-90,"Brisbane, Australia",0.2,29.6,20,84.6,36,5,1.2,1,-0.1,30.6,University of New Mexico,49th overall,2nd round,Chicago Bulls,2014,9-Jun,"Australian Institute of Sport in Canberra, Australia",Cameron Bairstow,Center and Power Forward,Right,250lb,NBA,bairsca01,845059,2015-16,2016,2015,Chicago Bulls
713,balllo01,27-Oct-97,"Anaheim, California",6.4,38,31.5,43.7,99,12.2,10,6.2,3.5,46.1,"University of California, Los Angeles",2nd overall,1st round,Los Angeles Lakers,2017,6-Jun,"Chino Hills in Chino Hills, California",Lonzo Ball,Point Guard,Right,190lb,NBA,balllo01,6286560,2017-18,2018,2017,Los Angeles Lakers
787,barneha02,30-May-92,"Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,8-Jun,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,NBA,barneha02,2798040,2012-13,2013,2012,Golden State Warriors
788,barneha02,30-May-92,"Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,8-Jun,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,NBA,barneha02,2923920,2013-14,2014,2013,Golden State Warriors
789,barneha02,30-May-92,"Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,8-Jun,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,NBA,barneha02,3049920,2014-15,2015,2014,Golden State Warriors
790,barneha02,30-May-92,"Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,8-Jun,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,NBA,barneha02,3873398,2015-16,2016,2015,Golden State Warriors
791,barneha02,30-May-92,"Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,8-Jun,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,NBA,barneha02,22116750,2016-17,2017,2016,Dallas Mavericks
792,barneha02,30-May-92,"Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,8-Jun,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,NBA,barneha02,23112004,2017-18,2018,2017,Dallas Mavericks
861,bartowi01,6-Jan-91,"Baltimore, Maryland",2.4,43.1,34.1,78.8,438,14.4,10.5,3.9,16.4,48.9,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012,6-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190lb,NBA,bartowi01,550000,2012-13,2013,2012,Portland Trail Blazers
862,bartowi01,6-Jan-91,"Baltimore, Maryland",2.4,43.1,34.1,78.8,438,14.4,10.5,3.9,16.4,48.9,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012,6-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190lb,NBA,bartowi01,788872,2013-14,2014,2013,Portland Trail Blazers
863,bartowi01,6-Jan-91,"Baltimore, Maryland",2.4,43.1,34.1,78.8,438,14.4,10.5,3.9,16.4,48.9,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012,6-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190lb,NBA,bartowi01,915243,2014-15,2015,2014,Denver Nuggets
864,bartowi01,6-Jan-91,"Baltimore, Maryland",2.4,43.1,34.1,78.8,438,14.4,10.5,3.9,16.4,48.9,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012,6-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190lb,NBA,bartowi01,3333333,2015-16,2016,2015,Denver Nuggets
